101 2
NEW 8 642836500
NEW 9 642836500
NEW 12 2218460226
NEW 22 2218460226
NEW 25 2218460226
NEW 34 1190037047
NEW 38 907914
NEW 42 907914
NEW 46 642836500
NEW 51 839764395
NEW 52 3513145892
NEW 53 1873288933
NEW 62 839764395
NEW 71 935537311
NEW 78 3280563874
NEW 85 642836500
NEW 93 839764395
NEW 94 935537311
NEW 100 1553333801
NEW 103 1190037047
NEW 111 612767040
NEW 118 892265874
NEW 126 839764395
NEW 133 3246890427
NEW 135 892265874
NEW 142 1873288933
NEW 145 907914
NEW 154 2218460226
NEW 163 1023428072
NEW 169 1873288933
NEW 178 724315371
NEW 181 1023428072
NEW 191 1575382695
NEW 196 918043141
NEW 204 2373115418
NEW 213 612767040
NEW 223 2971806770
NEW 231 1023428072
NEW 232 129657021
NEW 236 1145478865
NEW 239 2908630661
NEW 247 3631575823
NEW 256 3631575823
NEW 266 3246890427
NEW 272 918043141
NEW 277 3406976496
NEW 280 839764395
NEW 285 1023428072
NEW 286 660262267
NEW 295 3513145892
NEW 304 839764395
NEW 306 1378451875
NEW 308 3513145892
NEW 310 1378451875
NEW 320 3891973162
NEW 322 3280563874
NEW 324 612767040
NEW 334 1633865872
NEW 342 2728670120
NEW 345 1212413957
NEW 355 4173160637
NEW 363 2218460226
NEW 365 1575382695
NEW 366 3631575823
NEW 373 612767040
NEW 377 918043141
NEW 382 4173160637
NEW 388 3891973162
NEW 394 935537311
NEW 395 756224979
NEW 401 1378451875
NEW 403 3246890427
NEW 408 2195153576
NEW 414 2631235510
NEW 424 3897596921
NEW 430 3246890427
NEW 433 2897582572
NEW 440 2908630661
NEW 447 3513145892
NEW 454 3891973162
NEW 456 2373115418
NEW 458 612767040
NEW 459 3897596921
NEW 461 281787974
NEW 468 3280563874
NEW 478 1633865872
NEW 488 3897596921
NEW 492 1553333801
NEW 500 3513145892
NEW 505 2373115418
NEW 515 918043141
NEW 520 1623570133
NEW 524 660262267
NEW 528 3964137370
NEW 536 119652467
NEW 546 3497091148
NEW 553 3631575823
NEW 557 2908630661
NEW 558 1553333801
NEW 563 173686580
NEW 570 1553333801
NEW 578 1122008647
NEW 586 3260311867
NEW 595 227020309
QRY 139
NEW 604 1575382695
NEW 612 227020309
QRY 324
NEW 620 1378451875
NEW 629 612767040
NEW 637 281787974
NEW 640 2980437944
NEW 647 4193669754
NEW 656 1130880414
QRY 138
QRY 162
NEW 667 2621793970
QRY 612
QRY 363
NEW 682 3406976496
NEW 689 4121831650
NEW 698 2189418204
NEW 705 923961962
NEW 708 1023428072
NEW 717 3825103526
NEW 725 882730097
QRY 478
NEW 734 3406976496
NEW 737 281787974
QRY 433
NEW 751 3964137370
NEW 759 756224979
NEW 765 2964343947
NEW 774 935537311
NEW 776 2897582572
NEW 777 4174431679
NEW 783 3714497546
NEW 784 1122008647
NEW 788 1633865872
NEW 790 2538501383
QRY 204
NEW 802 1386103429
NEW 812 1023428072
NEW 816 462541241
QRY 285
NEW 826 3891973162
NEW 830 1190762198
NEW 839 1025466150
NEW 845 3329177328
NEW 854 2396268137
QRY 563
NEW 870 775596503
NEW 879 2539855499
NEW 885 1810619714
NEW 886 176134612
NEW 887 3891973162
NEW 894 960046982
NEW 900 2728670120
NEW 903 4231826074
QRY 103
NEW 920 1602870894
QRY 304
NEW 936 281787974
NEW 938 3383333104
QRY 845
NEW 945 2258109500
NEW 948 1212413957
QRY 348
QRY 915
NEW 964 1823368366
NEW 971 3513145892
QRY 423
NEW 990 1575382695
NEW 998 2621793970
NEW 1002 2964343947
NEW 1003 1283705441
QRY 640
QRY 71
NEW 1021 1823368366
NEW 1023 3390794446
QRY 595
NEW 1041 4129352592
NEW 1050 3314038756
QRY 528
NEW 1058 918043141
QRY 458
NEW 1076 1190037047
QRY 830
QRY 802
QRY 790
QRY 149
QRY 107
NEW 1114 923961962
NEW 1122 3059015212
NEW 1129 2222444635
QRY 1076
NEW 1141 2971806770
QRY 342
QRY 489
QRY 150
END
