7 3
NEW 8 2552088320
NEW 12 2552088320
NEW 22 814388853
NEW 23 992702515
NEW 33 814388853
NEW 35 992702515
NEW 43 2552088320
NEW 47 3354783599
NEW 52 4109305985
NEW 62 2552088320
NEW 67 4109305985
NEW 75 327881993
NEW 81 28542344
NEW 90 1940478054
NEW 93 2552088320
NEW 100 327881993
NEW 105 28542344
NEW 111 814388853
NEW 117 2251439267
NEW 119 28542344
NEW 120 4109305985
NEW 126 28542344
NEW 131 1940478054
NEW 134 4109305985
NEW 143 3869091182
NEW 151 1940478054
NEW 159 2781438510
NEW 164 327881993
NEW 168 4109305985
NEW 174 28542344
NEW 182 3354783599
NEW 184 3725499951
NEW 189 4125602132
NEW 195 992702515
NEW 204 4246797368
NEW 214 3638383574
NEW 224 992702515
NEW 234 4246797368
NEW 238 401543791
NEW 243 1841054525
NEW 244 2113522543
NEW 249 2113522543
NEW 257 190885248
NEW 266 3869091182
NEW 274 2447600621
NEW 282 1524144875
NEW 286 2945265535
NEW 294 4273673229
NEW 304 2552088320
NEW 313 28542344
NEW 322 1052679968
NEW 325 2773631387
NEW 330 2447600621
NEW 339 4195714889
NEW 348 319349324
NEW 358 2773631387
NEW 367 3095927177
NEW 370 919093750
NEW 376 401543791
NEW 382 1494019986
NEW 383 1940478054
NEW 387 993182843
NEW 391 992702515
NEW 393 3978617334
NEW 397 2447600621
NEW 406 919093750
NEW 410 2113522543
NEW 416 2881275136
NEW 417 2440877302
NEW 422 814388853
NEW 432 28542344
NEW 440 28542344
NEW 449 2706880220
NEW 450 1524144875
NEW 454 1926957225
NEW 464 3725499951
NEW 474 4246797368
NEW 483 3869091182
NEW 484 379228221
NEW 485 919093750
NEW 489 3638383574
NEW 498 327881993
NEW 503 1552000874
NEW 507 3867193699
NEW 510 892067311
NEW 518 1524144875
NEW 521 2251439267
NEW 523 3095927177
NEW 524 28542344
NEW 528 1754250229
NEW 530 2781438510
NEW 540 1396537965
NEW 545 2829014658
NEW 553 4246797368
NEW 561 2119460268
NEW 567 114789785
NEW 569 2777943267
NEW 576 275218589
NEW 579 1052679968
NEW 580 3354783599
NEW 588 4139376621
QRY 524
NEW 593 3095927177
NEW 596 454100557
NEW 606 919093750
QRY 304
NEW 614 2119460268
NEW 623 2901834336
QRY 530
NEW 628 2773631387
NEW 637 2773631387
NEW 644 2363020848
QRY 518
NEW 652 379228221
NEW 656 886696440
NEW 662 2777943267
NEW 671 892067311
QRY 122
NEW 681 2046506218
QRY 234
NEW 691 3869091182
NEW 697 4246797368
NEW 703 3553670342
NEW 704 1396537965
NEW 713 892067311
NEW 722 919093750
NEW 723 3362048454
NEW 725 1368816966
NEW 733 3978617334
NEW 736 19304273
QRY 489
QRY 93
NEW 755 401543791
NEW 757 2881275136
NEW 759 28542344
NEW 763 327881993
NEW 771 1940478054
NEW 772 542424540
NEW 777 3936639032
QRY 420
NEW 787 3354908551
NEW 795 2829939388
NEW 799 3865600939
NEW 801 992702515
NEW 811 919093750
QRY 78
NEW 814 2251439267
NEW 816 1373340970
NEW 824 4109305985
NEW 834 3354783599
NEW 835 2251439267
QRY 52
NEW 847 1841054525
QRY 847
NEW 854 1980445736
NEW 860 2969604979
QRY 460
QRY 485
QRY 237
NEW 881 825257068
NEW 883 2700968992
NEW 888 1524144875
NEW 889 3553670342
NEW 893 275218589
NEW 899 1754250229
QRY 824
NEW 908 825257068
NEW 916 1906100118
NEW 921 2134159845
NEW 923 3231106216
NEW 929 83799508
NEW 935 1368816966
QRY 111
NEW 947 2040021274
NEW 951 4195714889
NEW 957 176529667
NEW 961 4246797368
NEW 967 542424540
QRY 111
NEW 973 3978298340
QRY 120
QRY 111
NEW 979 2251439267
NEW 982 2914089597
NEW 989 1926957225
QRY 733
NEW 1002 2113522543
QRY 243
NEW 1008 3311361186
NEW 1009 1368816966
NEW 1014 418866054
QRY 759
NEW 1022 392281481
NEW 1031 892067311
NEW 1038 454100557
QRY 432
QRY 883
NEW 1053 3311361186
NEW 1055 4109305985
NEW 1061 379228221
END
